"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"018529805","Monograph","Language material ; Text","Online resource","GBB7I3308","","9780141913926","Orwell, George","1903-1950","person","","Davison, Peter Hobley [person] ; Orwell, George, 1903-1950 [person]","Orwell and politics : Animal farm in the context of essays, reviews and letters selected from the complete works of George Orwell","Animal farm ; Works. Selections, 2001","Penguin classics","","England","London","Penguin","2001","","1 online resource (xx, 537 pages)","823.912","ELD.DS.196638","Political and social views ; Orwell, George, 1903-1950--Political and social views ; Classic Fiction (Pre C 1945) ; FICTION / Political ; Anthologies (Non-Poetry) ; POLITICAL SCIENCE / History & Theory ; Orwell, George, 1903-1950--Critique et interprétation ; Literary Studies: Fiction, Novelists & Prose Writers ; HISTORY / Military / World War II","","English","",""
"018529806","Monograph","Language material ; Text","Online resource","GBB7I3309","","9780141913919","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the aspidistra flying","","","","England","London","Penguin","2000","","1 online resource (288 pages)","823.912","ELD.DS.196639","Alternative lifestyles ; England--London ; Alternative lifestyles--England--London--Fiction","Fiction","English","",""
"018530038","Monograph","Language material ; Text","Online resource","GBB7I3498","","9780141919935","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","George Orwell : essays","Essays. Selections ; Penguin essays of George Orwell","Penguin classics","","England","London","Penguin ; Secker & Warburg","2000","","1 online resource (xxv, 466 pages)","824.912","ELD.DS.196871","Essays","","English","Originally published as: The Penguin essays of George Orwell. 1984",""
"018530040","Monograph","Language material ; Text","Online resource","GBB7I3499","","9780141919959","Orwell, George","1903-1950","person","","Pynchon, Thomas [person] ; Orwell, George, 1903-1950 [person]","Nineteen eighty-four","","","","England","London","Penguin","2003","","1 online resource (xxv, 357 pages","823.912","ELD.DS.196873","Totalitarianism ; Totalitarianism--Fiction ; FICTION / Political ; FICTION / Dystopian ; FICTION / Literary","Dystopia ; Fiction","English","Originally published: London : Secker & Warburg, 1949",""
"018530196","Monograph","Language material ; Text","Online resource","GBB7I3625","","9780141926636","Orwell, George","1903-1950","person","","Davison, Peter Hobley [person] ; Orwell, George, 1903-1950 [person]","Orwell's England : the Road to Wigan Pier in the context of essays, reviews, letters and poems selected from the Complete works of George Orwell","Works. Selections, 2001","Penguin classics","","England ; United Kingdom","London","Penguin","2001","","1 online resource (496 pages)","942.082","ELD.DS.197029","Social & Cultural History ; Great Britain--Politics and government--20th century ; England--Social conditions--20th century ; POLITICAL SCIENCE / Essays ; Poverty & Unemployment ; National characteristics, English ; SOCIAL SCIENCE / Poverty & Homelessness ; Literary Studies: Fiction, Novelists & Prose Writers","","English","",""
"018530198","Monograph","Language material ; Text","Online resource","GBB7I3626","","9780141926667","Orwell, George","1903-1950","person","","Davison, Peter Hobley [person] ; Orwell, George, 1903-1950 [person]","Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from the complete works of George Orwell","Complete works of George Orwell ; Down and out in Paris and London ; Works. Selections, 2001","Penguin classics","","England ; United Kingdom","London","Penguin","2001","","1 online resource (448 pages)","823.912","ELD.DS.197031","BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs ; England--London ; Authors, English ; Homelessness--England--London--History--20th century ; Poverty & Unemployment ; France--Paris ; Homelessness--France--Paris--History--20th century ; Anthologies (Non-Poetry) ; SOCIAL SCIENCE / Poverty & Homelessness ; Literary Studies: From C 1900 - ; Authors, English--20th century--Biography","Biography ; History","English","",""
"018530903","Monograph","Language material ; Text","Online resource","GBB7I3967","","9780141965048 ; 9781595404800","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese days","","","","United States of America","Fairfield, Iowa","1st World Library","2006","","1 online resource","823.912","ELD.DS.197615","Physicians ; Physicians--Burma--Fiction ; Lumber trade--Burma--Fiction ; British ; British--Burma--Fiction","Fiction","English","Title from eBook information screen",""
"018530998","Monograph","Language material ; Text","Online resource","GBB7I4048","","9780141980584","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Books v. cigarettes","","Penguin great ideas","","England ; United Kingdom","London","Penguin","2014","","1 online resource (144 pages)","824.912","ELD.DS.197710","Essays ; LITERARY CRITICISM / Books & Reading","","English","",""
"018549702","Monograph","Language material ; Text","Volume","","","","Hanmer, Karen","","person","author","Hanmer, Karen, author [person]","1984now [text from George Orwell's 1984] : Great again ; Platform ; Temperament ; Topia ; Watching","1984 now ; Nineteen eighty-fournow","","","United States of America","Glenview, Illinois","Karen Hanmer","2017","","5 volumes, 3 x 5 x 14 cm (flip books), 20 x 15 x 6 cm (box)","","RF.2017.a.91","Artists' books ; Nineteen eighty-four (Orwell, George) ; Artists' books--Illinois ; Orwell, George, 1903-1950","","English","'Flip books: laser and inkjet prints on acid-free cardstock, buckram-wrapped spine. books presented in individual mylar sleeves, set also includes archival corrugated box'--From author's web site ; Limited edition of 40 numbered copies--From author's web site ; Title from label on box",""
"018570746","Monograph","Language material ; Text","Volume","GBB7K2781","","9781999730703","Avery, Desmond","1945-","person","author","Avery, Desmond, 1945-, author [person]","George Orwell at the BBC in 1942 : finding out how to set free his genius","","","","England","Wellingore","Garth Press","2017","","97 pages, 18 cm","","YKL.2018.a.21697","World War, 1939-1945--Radio broadcasting and the war ; Orwell, George, 1903-1950","","English","",""
"018579418","Monograph","Language material ; Text","Online resource (ebook)","GBB7K4050","","9780203790809","Rodden, John","","person","author","Rodden, John, author [person]","George Orwell : the politics of literary reputation","","","","England","London","Routledge","2017","","1 online resource","823.912","","Orwell, George, 1903-1950--Criticism and interpretation--History ; Canon (Literature)","","English","",""
"018589182","Monograph","Language material ; Text","Volume","GBB7K9267","","9780241315682","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","The lion and the unicorn","Lion and the unicorn : socialism and the English genius","Penguin modern classics","","England","London","Penguin","2018","Penguin Classics","82 pages, 20 cm","335.00941","YC.2018.a.16555","Socialism--Great Britain","","English","Additional physical form: ebook version. 9780241315699",""
