"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"000054226","Monograph","Language material ; Text","Volume","","","9780713154566","Alldritt, Keith","","person","","Alldritt, Keith [person] ; Orwell, George, 1903-1950 [person]","The making of George Orwell. An essay in literary history","","","","England","London","Edward Arnold","1969","","181 pages, 23 cm","","X.909/17240","","","English","",""
"000135405","Monograph","Language material ; Text","Volume","","","","Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","George Orwell. A literary study","","","","England","London","John Calder","1954","","348 pages (8°)","","11870.ee.20","","","","",""
"000135406","Monograph","Language material ; Text","Volume","","","9780714507156","Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","George Orwell: a literary study","","","","England","London","Calder & Boyars","1971","","394 pages, 21 cm","","X.989/11154","","","","",""
"000175769","Monograph","Language material ; Text","Volume","","","","Baker, Isadore Lewis","","person","","Orwell, George, 1903-1950 [person] ; Baker, Isadore Lewis [person]","George Orwell: Animal Farm","Animal Farm","Notes on Chosen English Texts","","England","London","James Brodie","1961","","71 pages (8°)","","W.P.c.589/105","","","","",""
"000405621","Monograph","Language material ; Text","Volume","","","","Bond, Nelson","","person","","Bond, Nelson [person] ; Orwell, George, 1903-1950 [person]","Animal Farm. A fable in two acts. Adapted by Nelson Bond from the book by George Orwell","Animal Farm","","","United States of America","New York","Samuel French","1964","","57 pages (8°)","","X.908/4425","","","","",""
"000453556","Monograph","Language material ; Text","Volume","","","","Brander, Laurence Robert Mean","","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","George Orwell [A critical study. With a portrait.]","","","","England","London","Longmans Green","1954","","212 pages (8°)","","10855.df.32","","","","",""
"000518592","Monograph","Language material ; Text","Volume","","","9780856320767","Buddicom, Jacintha Laura May","","person","","Orwell, George, 1903-1950 [person] ; Buddicom, Jacintha Laura May [person]","Eric and us. A remembrance of George Orwell","","","","England","London","Frewin","1974","","xxi, 169 pages, plates, illustrations, genealogical table, map, portraits, 23 cm","","X.989/28243","","","","",""
"000570355","Monograph","Language material ; Text","Volume","","","","Calder, Jenni","","person","","Koestler, Arthur, 1905-1983 [person] ; Orwell, George, 1903-1950 [person] ; Calder, Jenni [person]","Chronicles of conscience. A study of George Orwell and Arthur Koestler","","","","England","London","Secker & Warburg","1968","","303 pages (8°)","","X.909/16070","","","","",""
"000744420","Monograph","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person]","A collection of pamphlets, mainly political, formed by George Orwell","","","","","","","1915","","(4° and 8°)","","1899.ss.1-21 ; 1899.ss.23-26 ; 1899.ss.28-47 ; 1899.ss.48 ; 1899.ss.49","","","English","Detailed inventory on British Library webpage at: http://www.bl.uk/reshelp/findhelpsubject/literature/authors/orwellgeorge/georgeorwell.html. ORDERS RESTRICTED TO ONE SUB-GROUP AT A TIME",""
"001455794","Monograph","Language material ; Text","Volume","","","","Gollancz, Victor","1893-1967","person","","Strachey, John, 1901-1963 [person] ; Orwell, George, 1903-1950 [person] ; Gollancz, Victor, 1893-1967 [person]","The Betrayal of the Left. An examination & refutation of Communist policy from October 1939 to January 1941: with suggestions for an alternative and an epilogue on political morality. (Edited by V. Gollancz: contributors, the editor, John Strachey, George Orwell, a Labour Candidate.)","","","","England","London","Victor Gollancz","1941","","xxiii, 324 pages (8°)","","08004.ee.60","","","English","",""
"001522971","Monograph","Language material ; Text","Volume","","","9780297004790","Gross, Miriam","","person","","Gross, Miriam [person] ; Orwell, George, 1903-1950 [person]","The world of George Orwell, edited by Miriam Gross","","","","England","London","Weidenfeld & Nicolson","1971","","182 pages, plates, portraits, 26 cm","","X.981/2574","","","English","",""
"001657027","Monograph","Language material ; Text","Volume","","","","Heppenstall, Rayner","","person","","Thomas, Dylan, 1914-1953 [person] ; Orwell, George, 1903-1950 [person] ; Gill, Eric, 1882-1940 [person] ; Murry, John Middleton, 1889-1957 [person] ; Heppenstall, Rayner [person]","Four Absentees [Reminiscences of Eric Gill, George Orwell, Dylan Thomas and J. Middleton Murry.]","Appendix","","","England","London","Barrie & Rockliff","1960","","206 pages (8°)","","10800.d.47","","","","",""
"001714933","Monograph","Language material ; Text","Volume","","","","Hollis, Maurice Christopher","","person","","Orwell, George, 1903-1950 [person] ; Hollis, Maurice Christopher [person]","A Study of George Orwell, the Man and his Works","","","","England","London","Hollis & Carter","1956","","viii, 212 pages (8°)","","10864.g.35","","","","",""
"001728393","Monograph","Language material ; Text","Volume","","","","Hooning, Theodorus Johannes","","person","","Hooning, Theodorus Johannes [person] ; Orwell, George, 1903-1950 [person]","George Orwell in zijn tijd","","Boom paperback","number 20 [Boom paperback]","","Meppel","J. A. Boom & Zoon","1968","","260 pages, plates, portraits, 21 cm","","X.909/18926","","","","",""
"001731466","Monograph","Language material ; Text","Volume","","","","Hopkinson, Henry Thomas, Sir","","person","","Orwell, George, 1903-1950 [person] ; Hopkinson, Henry Thomas, Sir [person]","George Orwell [With a portrait.]","","Bibliographical Series of Supplements to 'British Book News.'","","England","London","Longmans Green","1953","","40 pages (8°)","","W.P.9502/39","","","","",""
"001731467","Monograph","Language material ; Text","Volume","","","","Hopkinson, Henry Thomas, Sir","","person","","Orwell, George, 1903-1950 [person] ; Hopkinson, Henry Thomas, Sir [person]","George Orwell. (New edition.) [With a portrait.]","","Bibliographical Series of Supplements to 'British Book News'","","England","London","British Council ; National Book League by Longmans, Green","1962","","36 pages (8°)","","W.P.9502/39a","","","","",""
"001785447","Monograph","Language material ; Text","Volume","","","9780136225973","Hynes, Samuel","1924-","person","","Orwell, George, 1903-1950 [person] ; Hynes, Samuel, 1924- [person]","Twentieth century interpretations of 1984. A collection of critical essays. Edited by Samuel Hynes","Nineteen Eighty-Four","Spectrum book","number S-878 [Spectrum book]","United States of America","Englewood Cliffs, New Jersey","Prentice Hall","1971","","vi, 117 pages, 21 cm","","X.900/10164","","","","",""
"001921331","Monograph","Language material ; Text","Volume","","","9780804424806","Kalechofsky, Roberta","","person","","Orwell, George, 1903-1950 [person] ; Kalechofsky, Roberta [person]","George Orwell","","Modern literature monographs","","United States of America","New York","Frederick Ungar","1973","","ix, 149 pages, 21 cm","","74/3737 ; X.989/33188","","","","",""
"002029531","Monograph","Language material ; Text","Volume","","","9780268004750","Kubal, David Lawrence","","person","","Kubal, David Lawrence [person] ; Orwell, George, 1903-1950 [person]","Outside the whale: George Orwell's art and politics","","","","England ; United States of America","London ; Notre Dame","University of Notre Dame Press","1972","","xvii, 169 pages, 21 cm","","X.989/22092","","","","",""
"002111226","Monograph","Language material ; Text","Volume","","","","Lee, Robert Alan","","person","","Orwell, George, 1903-1950 [person] ; Lee, Robert Alan [person]","Orwell's fiction","","","","","Notre Dame, London","University of Notre Dame Press","1969","","xvii, 188 pages, 23 cm","","AL69/1658 ; X.909/19168","","","","",""
"002165818","Monograph","Language material ; Text","Volume","","","","Lief, Ruth Ann","","person","","Orwell, George, 1903-1950 [person] ; Lief, Ruth Ann [person]","Homage to Oceania. The prophetic vision of George Orwell","","","","United States of America","Columbus","Ohio State University Press","1969","","viii, 162 pages, 24 cm","","X.981/2802","","","","",""
"002253321","Monograph","Language material ; Text","Volume","","","","London, Jack","1876-1916","person","","London, Jack, 1876-1916 [person] ; Orwell, George, 1903-1950 [person]","Love of Life, and other stories. Introduction by George Orwell","Single Works","","","England","London","Paul Elek","1946","","290 pages (8°)","","12727.b.38","","","","",""
"002479017","Monograph","Language material ; Text","Volume","","","9780500140192","Meyers, Jeffrey","","person","","Orwell, George, 1903-1950 [person] ; Meyers, Jeffrey [person]","A reader's guide to George Orwell","","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","","X.989/30247","","","","",""
"002632527","Monograph","Language material ; Text","Volume","","","","Yale University","","organisation","","Orwell, George, 1903-1950 [person] ; Huxley, Aldous, 1894-1963 [person] ; Waugh, Evelyn, 1903-1966 [person] ; Forster, E. M. (Edward Morgan), 1879-1970 [person] ; Yale University [organisation]","Yale College Series","Abinger harvest. (Reprinted.) ; Appendix ; Miscellaneous Publications","","","England ; United States of America","London ; New Haven","Yale University Press","1964","","","","Ac.2692.ma/34","","","","",""
"002693951","Monograph","Language material ; Text","Volume","","","9780717106141","O'Doherty, John","","person","","O'Doherty, John [person] ; Orwell, George, 1903-1950 [person]","George Orwell: Animal Farm","Animal Farm","Study-guide series","","Ireland","Dublin","Gill & Macmillan","1974","","40 pages, 21 cm","","X.909/29950","","","","",""
"002722644","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Collected Essays","","","","England","London","Secker & Warburg","1961","","434 pages (8°)","","11663.m.37 ; W21/3147","","","","",""
"002722645","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Collected essays","","Mercury books-no. 17","","England","London","Heinemann","1966","","460 pages, 20 cm","","12206.y.1/17","","","","",""
"002722646","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Orwell, Sonia [person]","The Collected essays, journalism and letters of George Orwell ... Edited by Sonia Orwell and Ian Angus [With portraits.]","","","","England","London","Secker & Warburg","1968","","4 volumes (8°)","","W48/6934 ; W48/6935 ; W48/6936 ; W48/6937 ; W72/3014 ; W72/3015 ; W72/3016 ; W72/3017 ; X.909/15237","","","English","",""
"002722647","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal Farm. A fairy story","","","","England","London","Secker & Warburg","1945","","91 pages (8°)","","Cup.409.c.60","","","","",""
"002722648","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal Farm","","","","United States of America","New York","Harcourt, Brace","1946","","118 pages (8°)","","12655.tt.13 ; 12656.b.4","","","","",""
"002722649","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal Farm. A fairy story","","Penguin Books","number 838 [Penguin Books]","England","Harmondsworth","Penguin","1951","","119 pages (8°)","","12208.a.1/838","","","","",""
"002722651","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal Farm, etc","","Bridge Series","","England","London","Longmans Green","1954","","viii, 120 pages (8°)","","W.P.2685/9","","","","",""
"002722652","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","Animal Farm ... With introduction and notes by Laurence Brander","","Heritage of Literature. sect. B","number 45 [Heritage of Literature. sect. B]","England","London","Longmans","1960","","xxiii, 111 pages (8°)","","012208.cc.1/140","","","","",""
"002722653","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","Animal Farm ... With introduction and notes by Laurence Brander","","Heritage of Literature Series","","England","London","Longmans","1964","","121 pages (8°)","","012208.cc.1/196","","","","",""
"002722654","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Bruwer, Taboureux [person] ; Orwell, George, 1903-1950 [person]","Die opstand ... Vertaal en verwerk deur Taboureux Bruwer","Animal Farm","","","","Johannesburg","Afrikaanse Pers","1963","","107 pages, 22 cm","","X.989/34360","","","","",""
"002722655","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Ross, Anthony, translator [person]","[Animal Farm.] De Boerderij der dieren ... Nederlandsche bewerking van Anthony Ross. Illustraties van Karel Thole","","","","","Bussum","","1947","","160 pages (8°)","","12656.b.5","","","","",""
"002722656","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","La république des animaux, etc","Animal Farm","Du monde entier","number 358 [Du monde entier]","France","Paris","Gallimard","1964","","155 pages, 20 cm","","X.900/13322","","","","number 6 of an edition of 31 copies",""
"002722657","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Scarpi, N. O., pseudonym [i.e. Fritz Bondy] [person]","[Animal Farm.] Farm der Tiere, etc. (Deutsch von N. O. Scarpi.)","","","","","Zürich","","1946","","","","12656.bb.2","","","","",""
"002722658","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Scarpi, N. O., pseudonym [i.e. Fritz Bondy] [person]","[Animal Farm.] Die Republik der Tiere. Eine Erzählung. (Deutsch von N. O. Scarpi.)","","","","","","Wien ; Zürich","1951","","94 pages (8°)","","12651.h.31","","","","part of 'Die Buchreihe der 'Presse.' Folge 1.'",""
"002722659","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso.)","Animal Farm","Medusa","volume 200 [Medusa]","","Milan","","1947","","144 pages (8°)","","11411.c.11","","","","",""
"002722660","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. III edizione.)","Animal Farm","Medusa","volume 200 [Medusa]","","Milan","","1949","","144 pages (8°)","","11411.ee.19","","","","",""
"002722661","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. IV edizione.)","Animal Farm","Medusa","volume 200 [Medusa]","","Milan","","1951","","144 pages (8°)","","11411.b.83","","","","",""
"002722662","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. V edizione.)","Animal Farm","Medusa","volume 200 [Medusa]","","Milan","","1953","","145 pages (8°)","","11411.bb.53","","","","",""
"002722663","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Jastrzębowski, Wojciech [person] ; Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","Zwierzęcy folwark ... Tłumaczyła Teresa Jeleńska. (Ilustracje Wojciecha Jastrzębowskiego.)","Animal Farm","","","","Londyn","Światowego Związku Polaków z Zagranicy","1947","","94 pages (8°)","","012642.pp.100","","","","",""
"002722664","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","Folwark zwierzęcy. (Tłumaczyła Teresa Jeleńska.)","Animal Farm","","","England","London","specjalne 'Wolnej Europy'","1956","","47 pages, illustrations, 21 cm","","X.909/18778","","","","",""
"002722665","Monograph","Language material ; Text","Volume","","","9780903705059","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","Folwark zwierzęcy. Przełożyła ... Teresa Jeleńska","Animal Farm","","","","Londyn","Odnowa","1974","","94 pages, 18 cm","","X.908/29452","","","","Printed in Belgium",""
"002722666","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Cherni︠a︡tynsʹkyĭ, Ivan [person]","Колгосп тварин : казка","Animal Farm. Ukrainian ; Kolhosp tvaryn","","","Germany","Munich","Vydavnyt︠s︡tvo 'Prometeĭ'","1947","","90 pages, illustrations, portraits (8°)","","12593.f.40","English fiction--20th century--Translations into Ukrainian","Translations into Ukrainian","Ukrainian","With a portraits",""
"002722667","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Struve, Gleb [person] ; Kriger, M. [person]","[Animal Farm.] Скотский хутор","","","","Germany","Frankfurt-am-Main","","1950","","51 pages (8°)","","12654.de.12","English fiction--Translations into Russian","Translations into Russian","Russian","",""
"002722668","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Gulbul, Rafik [person] ; Orwell, George, 1903-1950 [person]","[Animal farm.] Repiblik zanimo. (Par: Zorze Orwell. Tradiction: Rafik Gulbul.)","","","","","Port Louis","O.N.E","1974","","pages not numbered, illustrations, 27 cm","","X.902/2259","","","","Cartoons, with text in Mauritian Creole",""
"002722669","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Notes on George Orwell's Animal Farm","Animal Farm","","","England","London","Methuen","1965","","36 pages (8°)","","X.909/5838","","","","part of the 'Study-aid series'",""
"002722670","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese Days, etc","","","","United States of America","New York","Harper","1934","","371 pages (8°)","","Cup.403.s.21","","","","",""
"002722671","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese Days. A novel","","","","England","London","Victor Gollancz","1935","","318 pages (8°)","","NN.24091 ; T 124","","","","",""
"002722672","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese Days, etc [With a portrait.]","","Penguin Books","number 456 [Penguin Books]","United States of America","Harmondsworth ; New York","","1944","","239 pages (8°)","","12208.a.1/456","","","","",""
"002722673","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese Days, etc","","","","England","London","Secker & Warburg","1949","","287 pages (8°)","","NN.39069","","","","",""
"002722674","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese days","","Penguin books","number 456 [Penguin books]","","Utrecht","Harmondsworth ; Penguin","1967","","272 pages (8°)","","X.907/7392","","","","",""
"002722675","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese days, etc","","Modern novel series","","England","London","Heinemann","1967","","xiii, 287 pages (8°)","","11498.w.2/7","","","","",""
"002722676","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese days","","","","England","London","","1968","","","","L71/370 ; X.909/15907","","","","",""
"002722677","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Guillot De Saix, Léon Georges Marie [person]","Tragédie birmane. Roman. Traduit ... par Guillot de Saix","","","","","Paris","","1946","","342 pages (8°)","","12655.tt.12","","","","part of the series 'Les Grands romans étrangers.'",""
"002722678","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Caracciolo, Giovanna [person]","Giorni in Birmania, etc. (Traduzione di Giovanna Caracciolo.)","","'La Gaja scienza.'","volume 50 ['La Gaja scienza.']","","Milano","","1948","","314 pages (8°)","","11411.c.10","","","","",""
"002722679","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","A Clergyman's Daughter","","","","England","London","Victor Gollancz","1935","","317 pages (8°)","","Cup.405.i.32","","","","",""
"002722680","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","A Clergyman's Daughter","","","","England","London","Secker & Warburg","1960","","320 pages (8°)","","NNN.15044","","","","",""
"002722681","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","A Clergyman's Daughter","","Penguin Books","number 1877 [Penguin Books]","England","Harmondsworth","Penguin ; Secker & Warburg","1964","","262 pages (8°)","","12208.a.1/1877","","","","",""
"002722682","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming Up for Air","","","","England","London","Victor Gollancz","1939","","285 pages (8°)","","NN.30368","","","","",""
"002722683","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming up for Air. (New edition.)","","","","England","London","Secker & Warburg","1948","","237 pages (8°)","","NN.38359","","","","",""
"002722684","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming up for Air","","Penguin Books","number 1697 [Penguin Books]","England","Harmondsworth","Penguin ; Secker & Warburg","1962","","232 pages (8°)","","12208.a.1/1697","","","","",""
"002722685","Monograph","Language material ; Text","Volume","","","9780436350023","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming up for air. (Reissued.)","","","","England","London","Secker & Warburg","1971","","237 pages, 21 cm","","X.989/13269","","","","",""
"002722686","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Leschaux, Claude de [person]","Journal d'un Anglais moyen. Traduit ... par Claude de Leschaux","","Parts of the series 'Périples. Bibliothèque étrangère'","","","Paris","","1952","","238 pages (8°)","","12654.s.21","","","","",""
"002722687","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Critical Essays","","","","England","London","Secker & Warburg","1946","","169 pages (8°)","","11864.a.15","","","","",""
"002722688","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Critical Essays. (Reset edition.)","","","","England","London","Secker & Warburg","1951","","vii, 195 pages (8°)","","11869.a.8","","","","",""
"002722689","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Dickens, Charles, 1812-1870 [person] ; Dalí, Salvador, 1904-1989 [person]","Dickens, Dali and others","General Appendix","","","United States of America","New York","Harcourt, Bruce & World","1963","","243 pages (8°)","","X.908/11581","","","","",""
"002722690","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and Out in Paris and London","","","","England","London","Victor Gollancz","1933","","288 pages (8°)","","Cup.410.f.568","","","","",""
"002722691","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and Out in Paris and London [With a portrait.]","","Penguin Books","number 297 [Penguin Books]","United States of America","Harmondsworth ; New York","","1940","","184 pages (8°)","","12208.a.1/297","","","","",""
"002722692","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and Out in Paris and London","","","","England","London","Secker & Warburg","1949","","213 pages (8°)","","10862.de.11","","","","",""
"002722693","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and out in Paris and London","","Penguin Books","number 297 [Penguin Books]","England","Harmondsworth","Penguin ; Secker & Warburg","1963","","188 pages (8°)","","12208.a.1/297","","","","",""
"002722694","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","England your England, and other essays","","","","England","London","Secker & Warburg","1953","","224 pages (8°)","","12361.e.13 ; W30/0746 ; W5/6492 ; W8/3018","","","","",""
"002722695","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","The English people","","Britain in pictures ; The British people in pictures","","England","London","Collins","1947","","47 pages, 8 plates, illustrations (black and white and colour), 23 cm","","W.P.10933/1. (96.) ; W58/6405 ; W7/7542","","","English","",""
"002722696","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Monrad, Paul [person] ; Orwell, George, 1903-1950 [person]","Det engelske Folk. (Oversat af Paul Monrad.)","","","","","København","","1948","","69 pages (8°)","","10362.pp.39","","","","",""
"002722697","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Homage to Catalonia","","","","England","London","Secker & Warburg","1938","","313 pages (8°)","","Cup.410.f.570","","","","",""
"002722698","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Homage to Catalonia. (New edition.)","","","","England","London","Secker & Warburg","1951","","248 pages (8°)","","9196.a.11","","","","",""
"002722699","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Homage to Catalonia","","Penguin Books","number 1699 [Penguin Books]","England","Harmondsworth","Penguin ; Secker & Warburg","1962","","220 pages (8°)","","12208.a.1/1699","","","","",""
"002722700","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Homage to Catalonia, etc","","","","England","London","Folio Society","1970","","214 pages, plates, portraits, 23 cm","","X.809/8984","","","","",""
"002722701","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davet, Yvonne [person]","La Catalogne libre, 1936-1937 ... Traduit ... par Yvonne Davet","","Du monde entier","number 156 [Du monde entier]","France","Paris","Gallimard","1955","","302 pages, 20 cm","","X.900/13323","","","","number 47 of an edition of 60 copies",""
"002722702","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Monicelli, Giorgio [person] ; Orwell, George, 1903-1950 [person]","Omaggio alla Catalogna. (Traduzione di Giorgio Monicelli.)","","Orientamenti","number 21 [Orientamenti]","","Milan","","1948","","223 pages (8°)","","8025.c.11","","","","",""
"002722703","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Miller, Henry, 1891-1980 [person] ; Orwell, George, 1903-1950 [person] ; Dickens, Charles, 1812-1870 [person]","Inside the Whale, and other essays. (Charles Dickens.-Boys' Weeklies.-Inside the Whale [An appreciation of Henry Miller the novelist.])","General Appendix","","","England","London","Victor Gollancz","1940","","188 pages (8°)","","11862.bbb.38","","","","",""
"002722704","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Burnham, James, of the University of New York [person]","James Burnham and the Managerial Revolution. (First published in Polemic under the title Second Thoughts on James Burnham.)","","","","England","London","Socialist Book Centre","1946","","19 pages (8°)","","8288.f.66","","","","",""
"002722705","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the Aspidistra Flying","","","","England","London","Victor Gollancz","1936","","318 pages (8°)","","Cup.410.f.569","","","","",""
"002722706","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the Aspidistra flying. (Uniform edition.)","","","","England","London","Secker & Warburg","1954","","303 pages (8°)","","12654.ee.12","","","","",""
"002722707","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the Aspidistra flying","","","","United States of America","New York","Harcourt, Brace","1956","","248 pages (8°)","","12521.bb.16","","","","",""
"002722708","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the Aspidistra flying","","Penguin Books","number 1698 [Penguin Books]","England","Harmondsworth","Penguin ; Secker & Warburg","1962","","263 pages (8°)","","12208.a.1/1698","","","","",""
