"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"828.91209","012052271","Monograph","Language material ; Text","Volume","","","9783406333613","Schröder, Hans-Christoph","","person","","Schröder, Hans-Christoph [person]","George Orwell : eine intellektuelle Biographie","","","","Germany","München","C.H. Beck","1988","","392 pages, 23 cm","YA.1992.a.6313","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Orwell, George, 1903-1950","Biography","German","",""
"828.91209","012377274","Monograph","Language material ; Text","Volume","","","9780465030491","Hitchens, Christopher","","person","","Hitchens, Christopher [person]","Why Orwell matters","","","","United States of America","New York","Basic","2002","","","m02/38922","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","012617909","Monograph","Language material ; Text","Volume","GBA419632","","9780415968713","Stewart, Anthony","1964-","person","","Stewart, Anthony, 1964- [person]","George Orwell, doubleness, and the value of decency","","Studies in major literary authors","volume 32 [Studies in major literary authors]","England ; United States of America","London ; New York","Routledge","2003","","xvi, 199 pages, 24 cm","YC.2004.a.3545","Conduct of life in literature ; Orwell, George, 1903-1950--Knowledge--Psychology ; Ethics in literature ; Difference (Psychology) in literature ; Orwell, George, 1903-1950--Ethics ; Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","012881600","Monograph","Language material ; Text","Volume","GBA4W9398","","9781843543268","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Orwell : the Observer years","","","","England","London","Atlantic","2004","","256 pages, 20 cm","","World politics--1933-1945 ; World politics--1945-1955","","English","Includes index ; Originally published: 2003",""
"828.91209","012905064","Monograph","Language material ; Text","Volume","","","9780805074734","Taylor, D. J. (David John)","1960-","person","","Taylor, D. J. (David John), 1960- [person]","Orwell : the life","","","","United States of America","New York","H. Holt","2003","","466 pages, illustrations, 25 cm","","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"828.91209","013013292","Monograph","Language material ; Text","Volume","GBA474209","","9781594510021 ; 9781594510038","George Orwell Centenary Conference, Wellesley College","2003","meeting/conference","","Cushman, Thomas, 1959- [person] ; George Orwell Centenary Conference, Wellesley College, 2003 [meeting/conference] ; Rodden, John [person]","George Orwell : into the twenty-first century","","","","England ; United States of America","Boulder ; London","Paradigm","2004","","x, 316 pages, 24 cm","YC.2006.a.1860 ; m04/37633","Orwell, George, 1903-1950--Influence--Congresses ; Orwell, George, 1903-1950--Appreciation--Congresses","Congress","English","Essays resulting from the conference",""
"828.91209","013301343","Monograph","Language material ; Text","Volume","GBA581917","","9780415357357","Ingle, Stephen","","person","","Ingle, Stephen [person]","The social and political thought of George Orwell : a reassessment","","Routledge studies in social and political thought","45 [Routledge studies in social and political thought]","England","London","Routledge","2005","","225 pages, 23 cm","8026.519920 ; YC.2006.a.12096","Social problems in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century ; Literature and society--Great Britain--History--20th century","","English","",""
"828.91209","013426581","Monograph","Language material ; Text","Volume","GBA632034","","9781842751732","Shelden, Michael","","person","","Shelden, Michael [person]","Orwell : the authorised biography","","","","England","London","Politico's","2006","","566 pages, 22 cm","YC.2006.a.18592","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Orwell, George, 1903-1950","Biography","English","Originally published: London : Heinemann, 1991",""
"828.91209","013432493","Monograph","Language material ; Text","Volume","GBA634676","","9781857252149","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The lost Orwell : being a supplement to The complete works of George Orwell","Works. Selections, 2006","","","England","London","Timewell","2006","","x, 258 pages, 8 pages of plates, illustrations, 24 cm","YC.2007.a.15868","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Contains letters and documents discovered since the publication of The complete works of George Orwell in 1998 ; Includes index",""
"828.91209","013490450","Monograph","Language material ; Text","Volume","GBA654381","","9781842751558","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Anderson, Paul, 1959- [person]","Orwell in Tribune : 'As I please' and other writings, 1943-7","","","","England","London","Politico's","2006","","ix, 401 pages, 24 cm","YC.2007.a.13863","Orwell, George, 1903-1950--Political and social views","","English","",""
"828.91209","013552216","Monograph","Language material ; Text","Volume","GBA678249","","9780292713086","Rodden, John","","person","","Rodden, John [person]","Every intellectual's big brother : George Orwell's literary siblings","","Literary modernism series","","United States of America","Austin, Texas ; Chesham","Combined Academic ; University of Texas Press","2006","1st edition","xiii, 263 pages, illustrations, 24 cm","m07/.15292","Orwell, George, 1903-1950--Criticism and interpretation--History ; Orwell, George, 1903-1950--Influence ; Orwell, George, 1903-1950--Political and social views","","English","",""
"828.91209","013578274","Monograph","Language material ; Text","Volume","GBA687804","","9780521675079 ; 9780521858427","","","","","Rodden, John [person]","The Cambridge companion to George Orwell","","Cambridge companions to literature","","England","Cambridge","Cambridge University Press","2007","","xvi, 218 pages, illustrations, 24 cm","YC.2007.a.13539 ; m07/.26567","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","013622651","Monograph","Language material ; Text","Volume","GBA778397","","9780955370809","Buddicom, Jacintha","","person","","Buddicom, Jacintha [person]","Eric & us : a remembrance of George Orwell","","","","England","Chichester","Finlay","2006","2nd edition","xvii, 173 pages, 16 pages of plates, illustrations, map, portraits, 22 cm","YC.2007.a.13570","Authors, English--20th century--Biography ; Buddicom family ; Orwell, George, 1903-1950--Childhood and youth","Biography","English","reprinted of the edition published: London : Frewin, 1974",""
"828.91209","013699010","Monograph","Language material ; Text","Volume","GBA722090","","9780230517691","Clarke, Benjamin James","1977-","person","","Clarke, Benjamin James, 1977- [person]","Orwell in context : communities, myths, values","","","","England","Basingstoke","Palgrave Macmillan","2007","","ix, 225 pages, 23 cm","YC.2007.a.15408 ; m07/.27963","Orwell, George, 1903-1950--Political and social views ; National characteristics, English, in literature ; Sex role in literature ; Social classes in literature ; Politics and literature--Great Britain--History--20th century ; Nationalism in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","014508764","Monograph","Language material ; Text","Volume","GBA814035","","9781567921335","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","The collected essays, journalism, and letters of George Orwell","Age like this, 1920-1940","","","United States of America","Boston, Massachusetts ; Hove","David R. Godine ; Roundhouse","2007","","1 volume","","","","English","",""
"828.91209","014583736","Monograph","Language material ; Text","Volume","GBA854163","","9780413776655","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Anderson, Paul, 1959- [person]","Orwell in Tribune : 'As I please' and other writings, 1943-7","","","","England","London","Methuen","2008","","ix, 401 pages, 22 cm","m08/.28795","Orwell, George, 1903-1950--Political and social views","","English","Originally published: London: Politico's, 2006",""
"828.91209","014607767","Monograph","Language material ; Text","Volume","GBA864303","","9781847186027","Fusco, C. J. (Cortney Joseph)","1980-","person","","Fusco, C. J. (Cortney Joseph), 1980- [person]","Our Orwell, right or left : the continued importance of one writer to the world of western politics","","","","England","Newcastle","Cambridge Scholars","2008","","vi, 118 pages, 22 cm","YK.2009.a.27743 ; m09/.32104","Orwell, George, 1903-1950--Criticism and interpretation--History ; Politics and literature--History--20th century ; Right and left (Political science) in literature ; Orwell, George, 1903-1950--Political and social views","","English","",""
"828.91209","014622487","Monograph","Language material ; Text","Volume","GBA869692","","9780754664406","Saunders, Loraine","","person","","Saunders, Loraine [person]","The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four","","","","England","Aldershot","Ashgate","2008","","viii, 159 pages, 24 cm","YC.2009.a.5376 ; m09/.30736","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","014695317","Monograph","Language material ; Text","Volume","","","9781400066346","Lebedoff, David","","person","","Lebedoff, David [person]","The same man : George Orwell and Eveyln Waugh in love and war","","","","United States of America","New York","Random House","2008","1st edition","xv, 264 pages, 16 pages of plates, illustrations, 22 cm","m08/.29362","Waugh, Evelyn, 1903-1966 ; Authors, English--20th century--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"828.91209","014800290","Monograph","Language material ; Text","Volume","GBA8C9159","","9781845118075","Bounds, Philip","","person","","Bounds, Philip [person]","Orwell and Marxism : the political and cultural thinking of George Orwell","","International library of cultural studies","4 [International library of cultural studies]","England","London","I. B. Tauris","2009","","253 pages, 24 cm","4542.913550 ; YC.2010.a.4938","Orwell, George, 1903-1950--Criticism and interpretation ; Communism and literature--Great Britain--History--20th century ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century","","English","",""
"828.91209","015448920","Monograph","Language material ; Text","Volume","GBA9C5900","","9781846553554","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","A life in letters","","","","England","London","Harvill Secker","2010","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 24 cm","YC.2011.a.3493","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"828.91209","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","Orwell : life and art","'An affirming flame' : homage to Catalonia -- ; Miseries and splendors of scholarship -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm -- ; True to life : writing Orwell's biography","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
